,dateTimeISO,tempC,dewpointC,humidity,windSpeedKPH,weather,feelslikeC
0,2021-01-01T00:00:00+02:00,0.95,-0.16,92,6.48,Mostly Cloudy,0.95
1,2021-01-01T01:00:00+02:00,0.49,-0.74,92,5.56,Mostly Cloudy,0.49
2,2021-01-01T02:00:00+02:00,1.09,-0.29,91,5.56,Mostly Cloudy,1.09
3,2021-01-01T03:00:00+02:00,1.07,-0.09,92,4.63,Mostly Cloudy,1.07
4,2021-01-01T04:00:00+02:00,1.07,0.15,94,5.56,Mostly Cloudy,1.07
5,2021-01-01T05:00:00+02:00,1.02,0.2,94,6.48,Mostly Cloudy,1.02
6,2021-01-01T06:00:00+02:00,1.53,0.29,91,5.56,Mostly Cloudy,1.53
7,2021-01-01T07:00:00+02:00,2.59,1.17,90,5.56,Mostly Cloudy,2.59
8,2021-01-01T08:00:00+02:00,2.69,1.49,92,5.56,Mostly Cloudy,2.69
9,2021-01-01T09:00:00+02:00,3.05,1.59,90,5.56,Mostly Cloudy,3.05
10,2021-01-01T10:00:00+02:00,2.77,1.87,94,5.56,Mostly Cloudy,2.77
11,2021-01-01T11:00:00+02:00,2.81,2.05,95,6.48,Mostly Cloudy,2.81
12,2021-01-01T12:00:00+02:00,3.25,2.54,95,5.56,Mostly Cloudy,3.25
13,2021-01-01T13:00:00+02:00,3.23,1.59,89,4.63,Mostly Cloudy,3.23
14,2021-01-01T14:00:00+02:00,2.74,1.48,91,4.38,Mostly Cloudy,2.74
15,2021-01-01T15:00:00+02:00,2.73,1.5,92,3.79,Mostly Cloudy,2.73
16,2021-01-01T16:00:00+02:00,2.17,0.96,92,7.32,Mostly Cloudy,2.17
17,2021-01-01T17:00:00+02:00,2.13,0.77,91,2.78,Mostly Cloudy,2.13
18,2021-01-01T18:00:00+02:00,1.99,0.76,92,8.33,Mostly Cloudy,1.99
19,2021-01-01T19:00:00+02:00,1.71,0.69,93,3.7,Mostly Cloudy,1.71
20,2021-01-01T20:00:00+02:00,1.1,0.41,95,5.56,Mostly Cloudy,1.1
21,2021-01-01T21:00:00+02:00,1.27,0.4,94,5.56,Mostly Cloudy,1.27
22,2021-01-01T22:00:00+02:00,1.36,0.0,91,5.56,Mostly Cloudy,1.36
23,2021-01-01T23:00:00+02:00,1.14,0.41,95,9.17,Mostly Cloudy,-0.25
24,2021-01-02T00:00:00+02:00,0.61,-0.08,95,8.58,Mostly Cloudy,0.61
25,2021-01-02T01:00:00+02:00,1.06,-0.2,91,12.79,Mostly Cloudy,-1.12
26,2021-01-02T02:00:00+02:00,0.98,-0.29,91,15.68,Mostly Cloudy,-1.71
27,2021-01-02T03:00:00+02:00,0.98,0.19,94,14.73,Mostly Cloudy,-1.56
28,2021-01-02T04:00:00+02:00,1.01,-0.29,91,12.21,Mostly Cloudy,-1.06
29,2021-01-02T05:00:00+02:00,1.04,-0.28,91,11.7,Mostly Cloudy,-0.93
30,2021-01-02T06:00:00+02:00,0.99,-0.57,89,16.58,Mostly Cloudy,-1.83
31,2021-01-02T07:00:00+02:00,1.02,-0.22,91,12.26,Mostly Cloudy,-1.07
32,2021-01-02T08:00:00+02:00,0.98,-0.46,90,14.96,Mostly Cloudy,-1.59
33,2021-01-02T09:00:00+02:00,0.82,-0.02,94,12.31,Mostly Cloudy,-1.31
34,2021-01-02T10:00:00+02:00,0.02,-1.2,91,15.76,Mostly Cloudy,-2.85
35,2021-01-02T11:00:00+02:00,0.04,-1.67,88,15.85,Mostly Cloudy,-2.85
36,2021-01-02T12:00:00+02:00,0.03,-1.6,89,14.81,Snow Showers,-2.68
37,2021-01-02T13:00:00+02:00,0.05,-0.61,95,15.92,Snow Showers,-2.84
38,2021-01-02T14:00:00+02:00,-0.51,-1.16,95,13.09,Snow Showers,-3.0
39,2021-01-02T15:00:00+02:00,-0.67,-1.79,92,11.57,Snow Showers,-2.88
40,2021-01-02T16:00:00+02:00,-0.68,-1.86,92,14.94,Snow Showers,-3.54
41,2021-01-02T17:00:00+02:00,-0.69,-1.78,92,11.54,Snow Showers,-2.89
42,2021-01-02T18:00:00+02:00,-1.05,-1.39,98,16.05,Snow Showers,-4.17
43,2021-01-02T19:00:00+02:00,-1.06,-1.81,95,13.99,Snow Showers,-3.81
44,2021-01-02T20:00:00+02:00,-1.06,-1.42,97,12.38,Snow Showers,-3.5
45,2021-01-02T21:00:00+02:00,-1.07,-1.42,97,13.58,Snow Showers,-3.75
46,2021-01-02T22:00:00+02:00,-1.07,-1.68,96,15.95,Snow Showers,-4.18
47,2021-01-02T23:00:00+02:00,-1.43,-2.22,94,15.27,Snow Showers,-4.49
48,2021-01-03T00:00:00+02:00,-1.7,-2.46,95,15.86,Snow Showers,-4.91
49,2021-01-03T01:00:00+02:00,-1.65,-2.35,95,13.8,Snow Showers,-4.47
50,2021-01-03T02:00:00+02:00,-1.52,-2.03,96,14.75,Snow Showers,-4.5
51,2021-01-03T03:00:00+02:00,-2.14,-2.89,95,12.55,Snow Showers,-4.79
52,2021-01-03T04:00:00+02:00,-1.97,-2.52,96,14.37,Mostly Cloudy,-4.95
53,2021-01-03T05:00:00+02:00,-2.16,-2.72,96,13.72,Mostly Cloudy,-5.04
54,2021-01-03T06:00:00+02:00,-1.98,-2.53,96,14.9,Snow Showers,-5.06
55,2021-01-03T07:00:00+02:00,-2.53,-3.5,93,13.22,Snow Showers,-5.38
56,2021-01-03T08:00:00+02:00,-2.58,-3.06,96,12.67,Snow Showers,-5.32
57,2021-01-03T09:00:00+02:00,-2.38,-3.49,92,14.46,Mostly Cloudy,-5.45
58,2021-01-03T10:00:00+02:00,-2.38,-3.14,95,11.46,Mostly Cloudy,-4.83
59,2021-01-03T11:00:00+02:00,-2.75,-3.34,96,12.64,Mostly Cloudy,-5.51
60,2021-01-03T12:00:00+02:00,-2.4,-3.51,92,10.56,Mostly Cloudy,-4.63
61,2021-01-03T13:00:00+02:00,-1.98,-3.25,91,12.12,Mostly Cloudy,-4.51
62,2021-01-03T14:00:00+02:00,-2.78,-3.76,93,10.84,Partly Cloudy,-5.14
63,2021-01-03T15:00:00+02:00,-2.4,-3.67,91,9.52,Mostly Sunny,-4.37
64,2021-01-03T16:00:00+02:00,-2.64,-3.79,92,8.16,Mostly Cloudy,-2.64
65,2021-01-03T17:00:00+02:00,-2.43,-3.63,91,11.28,Mostly Cloudy,-4.84
66,2021-01-03T18:00:00+02:00,-2.41,-3.25,94,11.28,Mostly Clear,-4.82
67,2021-01-03T19:00:00+02:00,-2.91,-4.24,91,9.52,Mostly Cloudy,-4.94
68,2021-01-03T20:00:00+02:00,-2.74,-4.02,91,9.43,Mostly Cloudy,-4.73
69,2021-01-03T21:00:00+02:00,-2.2,-3.28,92,9.66,Mostly Cloudy,-4.18
70,2021-01-03T22:00:00+02:00,-2.21,-3.41,92,9.66,Mostly Cloudy,-4.19
71,2021-01-03T23:00:00+02:00,-2.28,-3.26,93,14.05,Mostly Cloudy,-5.26
72,2021-01-04T00:00:00+02:00,-2.08,-3.17,92,7.58,Mostly Cloudy,-2.08
