,timestamp,dateTimeISO,tempC,tempF,feelslikeC,feelslikeF,dewpointC,dewpointF,humidity,pressureMB,pressureIN,windDir,windDirDEG,windSpeedKTS,windSpeedKPH,windSpeedMPH,windGustKTS,windGustKPH,windGustMPH,precipMM,precipIN,precipRateMM,precipRateIN,snowCM,snowIN,snowRateCM,snowRateIN,pop,visibilityKM,visibilityMI,sky,cloudsCoded,weather,weatherCoded,weatherPrimary,weatherPrimaryCoded,icon,solradWM2,uvi,isDay,spressureMB,spressureIN,altimeterMB,altimeterIN,solrad,solrad_azimuthDEG,solrad_zenithDEG,solrad_ghiWM2,solrad_dniWM2,solrad_dhiWM2
0,1654030800,2022-06-01T00:00:00+03:00,9.45,49.02,8.18,46.72,8.66,47.59,95,1012.0,29.88,S,172,9.0,16.67,10.36,18.51,34.28,21.3,1.06,0.04,1.06,0.04,0,0,0,0,,10.663,6.626,82,BK,Isolated Showers,IS:L:RW,Isolated Showers,IS:L:RW,mcloudyrn.png,0,0.0,False,1008.8,29.79,1011.6,29.87,,341.762,96.3362,0.0,0.0,0.0
1,1654034400,2022-06-01T01:00:00+03:00,9.46,49.03,8.04,46.47,8.65,47.57,95,1013.0,29.91,S,172,9.8,18.15,11.28,18.13,33.58,20.86,0.12,0.0,0.12,0.0,0,0,0,0,,12.435,7.727,82,BK,Rain Showers,:VL:RW,Rain Showers,:VL:RW,showersn.png,0,0.0,False,1009.8,29.82,1012.6,29.9,,355.6979,97.7873,0.0,0.0,0.0
2,1654038000,2022-06-01T02:00:00+03:00,9.46,49.03,8.28,46.91,8.66,47.58,95,1013.0,29.91,S,172,8.5,15.74,9.78,16.05,29.72,18.47,0.12,0.0,0.12,0.0,0,0,0,0,,14.207,8.828,82,BK,Rain Showers,:VL:RW,Rain Showers,:VL:RW,showersn.png,0,0.0,False,1009.8,29.82,1012.6,29.9,,9.722,97.4289,0.0,0.0,0.0
3,1654041600,2022-06-01T03:00:00+03:00,9.46,49.03,8.21,46.79,8.66,47.58,95,1014.0,29.94,S,181,8.83,16.36,10.16,15.78,29.22,18.16,0.12,0.0,0.12,0.0,0,0,0,0,,15.979,9.929,100,OV,Rain Showers,:VL:RW,Rain Showers,:VL:RW,showersn.png,0,0.0,False,1010.8,29.85,1013.6,29.93,,23.5468,95.2892,0.0,0.0,0.0
4,1654045200,2022-06-01T04:00:00+03:00,10.04,50.06,10.04,50.06,8.91,48.03,93,1014.3,29.95,S,182,8.9,16.47,10.24,17.73,32.83,20.4,0.04,0.0,0.04,0.0,0,0,0,0,,16.0,9.942,82,BK,Rain Showers,:VL:RW,Rain Showers,:VL:RW,showersn.png,0,0.0,False,1011.1,29.86,1014.0,29.94,,36.9584,91.5289,0.0,0.0,0.0
5,1654048800,2022-06-01T05:00:00+03:00,10.04,50.06,10.04,50.06,8.9,48.02,93,1015.0,29.97,S,175,9.23,17.1,10.62,15.65,28.98,18.01,0.0,0.0,0.0,0.0,0,0,0,0,,16.0,9.942,82,BK,Mostly Cloudy,::BK,Mostly Cloudy,::BK,mcloudy.png,20,0.0,True,1011.8,29.88,1014.6,29.96,,49.888,86.4023,19.9117,16.2778,18.8903
6,1654052400,2022-06-01T06:00:00+03:00,9.98,49.96,8.4,47.12,8.74,47.74,92,1015.3,29.98,S,173,11.36,21.03,13.07,15.73,29.13,18.1,0.0,0.0,0.0,0.0,0,0,0,0,,16.0,9.942,82,BK,Mostly Cloudy,::BK,Mostly Cloudy,::BK,mcloudy.png,86,0.0,True,1012.1,29.89,1014.9,29.97,,62.4277,80.211,85.7402,186.9813,53.9495
7,1654056000,2022-06-01T07:00:00+03:00,9.95,49.92,8.91,48.03,8.82,47.87,93,1016.0,30.0,S,172,8.28,15.33,9.53,13.36,24.74,15.37,0.0,0.0,0.0,0.0,0,0,0,0,,16.0,9.942,82,BK,Mostly Cloudy,::BK,Mostly Cloudy,::BK,mcloudy.png,158,0.0,True,1012.9,29.91,1015.7,29.99,,74.8139,73.2721,158.0338,202.0739,99.8715
8,1654059600,2022-06-01T08:00:00+03:00,10.45,50.82,10.45,50.82,8.92,48.06,90,1016.3,30.01,S,172,7.28,13.48,8.38,15.23,28.21,17.53,0.0,0.0,0.0,0.0,0,0,0,0,,16.0,9.942,15,FW,Mostly Sunny,::FW,Mostly Sunny,::FW,fair.png,374,0.0,True,1013.1,29.92,1015.9,30.0,,87.4117,65.9116,373.6024,803.3856,45.7036
9,1654063200,2022-06-01T09:00:00+03:00,12.06,53.71,12.06,53.71,9.43,48.97,84,1017.0,30.03,S,178,6.06,11.22,6.97,13.71,25.39,15.78,0.0,0.0,0.0,0.0,0,0,0,0,,16.0,9.942,18,FW,Mostly Sunny,::FW,Mostly Sunny,::FW,fair.png,486,0.0,True,1013.9,29.94,1016.7,30.02,,100.7164,58.4806,486.4126,805.9941,65.0494
